mode,scenario,run,throughput_mbs,status,duration_s,notes
full,cpu2cpu,1,6146.2,SUCCESS,10.2,
full,cpu2cpu,2,6840.8,SUCCESS,9.5,
full,cpu2cpu,3,6301.9,SUCCESS,9.8,
full,cpu2cpu,4,6564.3,SUCCESS,9.7,
full,cpu2cpu,5,7037.5,SUCCESS,9.5,
full,cpu2cpu,6,6998.0,SUCCESS,9.5,
full,cpu2cpu,7,7031.3,SUCCESS,9.5,
full,cpu2cpu,8,7158.4,SUCCESS,9.3,
full,cpu2cpu,9,7051.9,SUCCESS,9.3,
full,cpu2cpu,10,7111.6,SUCCESS,9.3,
full,cpu2cuda,1,5113.9,SUCCESS,8.8,
full,cpu2cuda,2,4957.0,SUCCESS,8.9,
full,cpu2cuda,3,5128.0,SUCCESS,9.1,
full,cpu2cuda,4,5074.8,SUCCESS,8.9,
full,cpu2cuda,5,5144.4,SUCCESS,8.9,
full,cpu2cuda,6,5119.2,SUCCESS,8.9,
full,cpu2cuda,7,5042.4,SUCCESS,8.9,
full,cpu2cuda,8,4768.8,SUCCESS,9.4,
full,cpu2cuda,9,5090.0,SUCCESS,8.9,
full,cpu2cuda,10,4799.2,SUCCESS,9.0,
full,cuda2cpu,1,7879.2,SUCCESS,8.5,
full,cuda2cpu,2,8018.1,SUCCESS,8.5,
full,cuda2cpu,3,7975.1,SUCCESS,8.4,
full,cuda2cpu,4,7978.7,SUCCESS,8.5,
full,cuda2cpu,5,8037.6,SUCCESS,8.4,
full,cuda2cpu,6,6955.4,SUCCESS,9.0,
full,cuda2cpu,7,7546.4,SUCCESS,8.8,
full,cuda2cpu,8,8061.7,SUCCESS,8.5,
full,cuda2cpu,9,8241.3,SUCCESS,8.3,
full,cuda2cpu,10,7995.6,SUCCESS,8.5,
pageable,cpu2cpu,1,6957.9,SUCCESS,9.4,
pageable,cpu2cpu,2,7132.4,SUCCESS,9.4,
pageable,cpu2cpu,3,6534.8,SUCCESS,9.6,
pageable,cpu2cpu,4,6858.8,SUCCESS,9.5,
pageable,cpu2cpu,5,7158.8,SUCCESS,9.4,
pageable,cpu2cpu,6,6891.5,SUCCESS,9.6,
pageable,cpu2cpu,7,7006.7,SUCCESS,9.5,
pageable,cpu2cpu,8,7215.7,SUCCESS,9.3,
