mode,scenario,run,throughput_mbs,status,duration_s,notes
full,cpu2cpu,1,4472.9,SUCCESS,4.8,
full,cpu2cpu,2,4715.0,SUCCESS,4.8,
full,cpu2cpu,3,5322.9,SUCCESS,4.7,
full,cpu2cpu,4,4940.6,SUCCESS,4.8,
full,cpu2cpu,5,4028.4,SUCCESS,5.0,
full,cpu2cpu,6,4732.9,SUCCESS,4.9,
full,cpu2cpu,7,4658.9,SUCCESS,4.8,
full,cpu2cpu,8,4767.0,SUCCESS,4.7,
full,cpu2cpu,9,5069.3,SUCCESS,4.8,
full,cpu2cpu,10,4819.7,SUCCESS,4.7,
full,cpu2cuda,1,3003.1,SUCCESS,4.0,
full,cpu2cuda,2,2997.1,SUCCESS,4.0,
full,cpu2cuda,3,3040.4,SUCCESS,4.0,
full,cpu2cuda,4,3082.9,SUCCESS,4.0,
full,cpu2cuda,5,3078.4,SUCCESS,3.9,
full,cpu2cuda,6,3216.1,SUCCESS,4.0,
full,cpu2cuda,7,2916.9,SUCCESS,4.1,
full,cpu2cuda,8,3134.0,SUCCESS,4.0,
full,cpu2cuda,9,2900.3,SUCCESS,4.1,
full,cpu2cuda,10,2984.5,SUCCESS,4.1,
full,cuda2cpu,1,6287.2,SUCCESS,3.7,
full,cuda2cpu,2,6667.2,SUCCESS,3.7,
full,cuda2cpu,3,6648.8,SUCCESS,3.7,
full,cuda2cpu,4,7154.9,SUCCESS,3.6,
full,cuda2cpu,5,6450.4,SUCCESS,3.7,
full,cuda2cpu,6,6385.4,SUCCESS,3.7,
full,cuda2cpu,7,6986.3,SUCCESS,3.6,
full,cuda2cpu,8,6245.9,SUCCESS,3.6,
full,cuda2cpu,9,7171.9,SUCCESS,3.6,
full,cuda2cpu,10,7352.5,SUCCESS,3.6,
pageable,cpu2cpu,1,5169.3,SUCCESS,4.7,
pageable,cpu2cpu,2,5036.6,SUCCESS,4.6,
pageable,cpu2cpu,3,5081.7,SUCCESS,4.7,
pageable,cpu2cpu,4,5005.7,SUCCESS,4.8,
pageable,cpu2cpu,5,4544.1,SUCCESS,4.8,
pageable,cpu2cpu,6,4501.6,SUCCESS,4.8,
pageable,cpu2cpu,7,4782.3,SUCCESS,4.6,
pageable,cpu2cpu,8,4638.2,SUCCESS,4.8,
pageable,cpu2cpu,9,4327.1,SUCCESS,4.7,
pageable,cpu2cpu,10,4324.0,SUCCESS,4.6,
pageable,cpu2cuda,1,4251.4,SUCCESS,3.8,
pageable,cpu2cuda,2,3944.7,SUCCESS,3.7,
pageable,cpu2cuda,3,3888.9,SUCCESS,3.9,
pageable,cpu2cuda,4,3909.9,SUCCESS,3.9,
pageable,cpu2cuda,5,3997.9,SUCCESS,4.0,
pageable,cpu2cuda,6,3678.1,SUCCESS,4.0,
pageable,cpu2cuda,7,4135.8,SUCCESS,3.7,
pageable,cpu2cuda,8,4085.2,SUCCESS,3.7,
pageable,cpu2cuda,9,3497.8,SUCCESS,3.9,
pageable,cpu2cuda,10,3594.9,SUCCESS,4.2,
pageable,cuda2cpu,1,6079.9,SUCCESS,3.8,
pageable,cuda2cpu,2,6706.8,SUCCESS,3.8,
pageable,cuda2cpu,3,6659.5,SUCCESS,3.7,
pageable,cuda2cpu,4,6342.6,SUCCESS,3.6,
pageable,cuda2cpu,5,6851.0,SUCCESS,3.6,
pageable,cuda2cpu,6,6974.9,SUCCESS,3.6,
pageable,cuda2cpu,7,6534.9,SUCCESS,3.6,
pageable,cuda2cpu,8,7259.1,SUCCESS,3.7,
pageable,cuda2cpu,9,7041.4,SUCCESS,3.6,
pageable,cuda2cpu,10,6880.6,SUCCESS,3.7,
nofastpath,cpu2cpu,1,4655.0,SUCCESS,4.7,
nofastpath,cpu2cpu,2,4909.0,SUCCESS,4.7,
nofastpath,cpu2cpu,3,4506.3,SUCCESS,4.7,
nofastpath,cpu2cpu,4,4454.0,SUCCESS,4.8,
nofastpath,cpu2cpu,5,4772.1,SUCCESS,4.6,
nofastpath,cpu2cpu,6,4656.8,SUCCESS,4.6,
nofastpath,cpu2cpu,7,4683.9,SUCCESS,4.8,
nofastpath,cpu2cpu,8,4306.0,SUCCESS,4.8,
nofastpath,cpu2cpu,9,4375.7,SUCCESS,4.6,
nofastpath,cpu2cpu,10,4606.7,SUCCESS,4.8,
nofastpath,cpu2cuda,1,2765.0,SUCCESS,4.0,
nofastpath,cpu2cuda,2,3106.2,SUCCESS,3.9,
nofastpath,cpu2cuda,3,2884.4,SUCCESS,4.0,
nofastpath,cpu2cuda,4,2763.3,SUCCESS,4.1,
nofastpath,cpu2cuda,5,2856.5,SUCCESS,4.0,
nofastpath,cpu2cuda,6,2368.3,SUCCESS,4.2,
nofastpath,cpu2cuda,7,2674.7,SUCCESS,4.2,
nofastpath,cpu2cuda,8,2841.3,SUCCESS,4.1,
nofastpath,cpu2cuda,9,2970.4,SUCCESS,4.0,
nofastpath,cpu2cuda,10,2852.6,SUCCESS,4.0,
nofastpath,cuda2cpu,1,6551.9,SUCCESS,3.6,
nofastpath,cuda2cpu,2,6377.2,SUCCESS,3.7,
nofastpath,cuda2cpu,3,6669.6,SUCCESS,3.6,
nofastpath,cuda2cpu,4,6736.7,SUCCESS,3.6,
nofastpath,cuda2cpu,5,6571.0,SUCCESS,3.6,
nofastpath,cuda2cpu,6,6503.7,SUCCESS,3.6,
nofastpath,cuda2cpu,7,6354.2,SUCCESS,3.6,
nofastpath,cuda2cpu,8,6625.2,SUCCESS,3.5,
nofastpath,cuda2cpu,9,6724.5,SUCCESS,3.6,
nofastpath,cuda2cpu,10,6668.1,SUCCESS,3.5,
noreuse,cpu2cpu,1,1394.3,SUCCESS,5.1,
noreuse,cpu2cpu,2,1557.7,SUCCESS,5.1,
noreuse,cpu2cpu,3,1446.9,SUCCESS,5.0,
noreuse,cpu2cpu,4,1324.3,SUCCESS,5.1,
noreuse,cpu2cpu,5,1522.9,SUCCESS,5.0,
noreuse,cpu2cpu,6,1497.5,SUCCESS,5.0,
noreuse,cpu2cpu,7,1577.0,SUCCESS,4.9,
noreuse,cpu2cpu,8,1495.7,SUCCESS,5.0,
noreuse,cpu2cpu,9,1562.0,SUCCESS,5.1,
noreuse,cpu2cpu,10,1593.5,SUCCESS,5.0,
noreuse,cpu2cuda,1,949.7,SUCCESS,4.5,
noreuse,cpu2cuda,2,990.8,SUCCESS,4.4,
noreuse,cpu2cuda,3,1009.1,SUCCESS,4.4,
noreuse,cpu2cuda,4,979.2,SUCCESS,4.5,
noreuse,cpu2cuda,5,983.0,SUCCESS,4.5,
noreuse,cpu2cuda,6,991.7,SUCCESS,4.5,
noreuse,cpu2cuda,7,1000.5,SUCCESS,4.4,
noreuse,cpu2cuda,8,959.3,SUCCESS,4.5,
noreuse,cpu2cuda,9,988.7,SUCCESS,4.5,
noreuse,cpu2cuda,10,945.2,SUCCESS,4.6,
noreuse,cuda2cpu,1,1781.5,SUCCESS,3.9,
