mode,scenario,run,throughput_mbs,status,duration_s,notes
full,cpu2cpu,1,4113.2,SUCCESS,4.1,
full,cpu2cpu,2,5201.4,SUCCESS,4.0,
full,cpu2cpu,3,5345.4,SUCCESS,4.3,
full,cpu2cpu,4,4435.7,SUCCESS,4.5,
full,cpu2cpu,5,4146.5,SUCCESS,4.3,
full,cpu2cpu,6,4546.9,SUCCESS,4.1,
full,cpu2cpu,7,4661.1,SUCCESS,4.1,
full,cpu2cpu,8,4362.6,SUCCESS,3.9,
full,cpu2cpu,9,4979.8,SUCCESS,4.0,
full,cpu2cpu,10,5810.4,SUCCESS,3.9,
full,cpu2cuda,1,1153.3,SUCCESS,3.2,
full,cpu2cuda,2,1124.8,SUCCESS,3.1,
full,cpu2cuda,3,1120.0,SUCCESS,3.1,
full,cpu2cuda,4,1124.3,SUCCESS,3.1,
full,cpu2cuda,5,1117.2,SUCCESS,3.1,
full,cpu2cuda,6,1135.2,SUCCESS,3.1,
full,cpu2cuda,7,1254.6,SUCCESS,3.0,
full,cpu2cuda,8,990.4,SUCCESS,3.3,
full,cpu2cuda,9,879.4,SUCCESS,3.2,
full,cpu2cuda,10,1210.6,SUCCESS,3.0,
full,cuda2cpu,1,3090.7,SUCCESS,2.9,
full,cuda2cpu,2,2973.6,SUCCESS,2.9,
full,cuda2cpu,3,3152.8,SUCCESS,3.0,
full,cuda2cpu,4,3624.4,SUCCESS,3.0,
full,cuda2cpu,5,3125.1,SUCCESS,3.0,
full,cuda2cpu,6,2884.3,SUCCESS,3.0,
full,cuda2cpu,7,3465.7,SUCCESS,3.0,
full,cuda2cpu,8,3190.2,SUCCESS,2.9,
full,cuda2cpu,9,3256.6,SUCCESS,3.0,
full,cuda2cpu,10,3383.5,SUCCESS,2.9,
pageable,cpu2cpu,1,5858.3,SUCCESS,3.9,
pageable,cpu2cpu,2,5182.7,SUCCESS,4.0,
pageable,cpu2cpu,3,6119.2,SUCCESS,3.9,
pageable,cpu2cpu,4,5810.5,SUCCESS,3.9,
pageable,cpu2cpu,5,5085.2,SUCCESS,3.9,
pageable,cpu2cpu,6,5793.5,SUCCESS,3.9,
pageable,cpu2cpu,7,5374.3,SUCCESS,3.9,
pageable,cpu2cpu,8,6223.2,SUCCESS,3.9,
pageable,cpu2cpu,9,4529.8,SUCCESS,4.0,
pageable,cpu2cpu,10,5642.4,SUCCESS,3.9,
pageable,cpu2cuda,1,2671.5,SUCCESS,3.0,
pageable,cpu2cuda,2,2721.4,SUCCESS,3.0,
pageable,cpu2cuda,3,2936.1,SUCCESS,3.1,
pageable,cpu2cuda,4,3030.4,SUCCESS,3.1,
pageable,cpu2cuda,5,2402.7,SUCCESS,3.1,
pageable,cpu2cuda,6,2574.6,SUCCESS,3.1,
pageable,cpu2cuda,7,2670.9,SUCCESS,3.1,
pageable,cpu2cuda,8,3084.0,SUCCESS,3.1,
pageable,cpu2cuda,9,2497.2,SUCCESS,3.1,
pageable,cpu2cuda,10,2645.5,SUCCESS,3.1,
pageable,cuda2cpu,1,2994.3,SUCCESS,3.0,
pageable,cuda2cpu,2,2549.6,SUCCESS,3.0,
pageable,cuda2cpu,3,3290.7,SUCCESS,2.9,
pageable,cuda2cpu,4,3312.9,SUCCESS,3.0,
pageable,cuda2cpu,5,3185.5,SUCCESS,3.0,
pageable,cuda2cpu,6,3194.6,SUCCESS,3.0,
pageable,cuda2cpu,7,3470.4,SUCCESS,2.9,
pageable,cuda2cpu,8,3107.3,SUCCESS,2.9,
pageable,cuda2cpu,9,3044.8,SUCCESS,2.9,
pageable,cuda2cpu,10,3180.0,SUCCESS,3.1,
nofastpath,cpu2cpu,1,3201.2,SUCCESS,4.1,
nofastpath,cpu2cpu,2,3225.3,SUCCESS,3.9,
nofastpath,cpu2cpu,3,3364.3,SUCCESS,4.0,
nofastpath,cpu2cpu,4,2862.5,SUCCESS,4.0,
nofastpath,cpu2cpu,5,2697.4,SUCCESS,4.0,
nofastpath,cpu2cpu,6,3445.3,SUCCESS,4.0,
nofastpath,cpu2cpu,7,3245.0,SUCCESS,4.0,
nofastpath,cpu2cpu,8,3910.7,SUCCESS,3.9,
nofastpath,cpu2cpu,9,3468.2,SUCCESS,3.9,
nofastpath,cpu2cpu,10,3186.6,SUCCESS,3.9,
nofastpath,cpu2cuda,1,932.5,SUCCESS,3.1,
nofastpath,cpu2cuda,2,950.4,SUCCESS,3.1,
nofastpath,cpu2cuda,3,890.6,SUCCESS,3.1,
nofastpath,cpu2cuda,4,921.8,SUCCESS,3.1,
nofastpath,cpu2cuda,5,896.7,SUCCESS,3.1,
nofastpath,cpu2cuda,6,943.0,SUCCESS,3.1,
nofastpath,cpu2cuda,7,710.6,SUCCESS,3.0,
nofastpath,cpu2cuda,8,918.9,SUCCESS,3.0,
nofastpath,cpu2cuda,9,927.5,SUCCESS,3.1,
nofastpath,cpu2cuda,10,935.0,SUCCESS,3.1,
nofastpath,cuda2cpu,1,2259.0,SUCCESS,3.0,
nofastpath,cuda2cpu,2,2467.9,SUCCESS,2.9,
nofastpath,cuda2cpu,3,1966.7,SUCCESS,3.0,
nofastpath,cuda2cpu,4,2280.3,SUCCESS,2.9,
nofastpath,cuda2cpu,5,2140.0,SUCCESS,2.9,
nofastpath,cuda2cpu,6,2673.1,SUCCESS,3.1,
nofastpath,cuda2cpu,7,1990.6,SUCCESS,2.9,
nofastpath,cuda2cpu,8,2127.4,SUCCESS,2.9,
nofastpath,cuda2cpu,9,2363.3,SUCCESS,2.9,
nofastpath,cuda2cpu,10,2382.7,SUCCESS,2.9,
noreuse,cpu2cpu,1,976.0,SUCCESS,3.7,
noreuse,cpu2cpu,2,1037.5,SUCCESS,3.7,
noreuse,cpu2cpu,3,1053.3,SUCCESS,3.8,
noreuse,cpu2cpu,4,981.6,SUCCESS,3.8,
noreuse,cpu2cpu,5,1002.7,SUCCESS,3.8,
noreuse,cpu2cpu,6,975.2,SUCCESS,3.8,
noreuse,cpu2cpu,7,873.1,SUCCESS,3.8,
noreuse,cpu2cpu,8,770.4,SUCCESS,4.1,
noreuse,cpu2cpu,9,836.7,SUCCESS,3.9,
noreuse,cpu2cpu,10,995.3,SUCCESS,3.8,
noreuse,cpu2cuda,1,354.2,SUCCESS,3.1,
noreuse,cpu2cuda,2,404.9,SUCCESS,3.0,
noreuse,cpu2cuda,3,397.2,SUCCESS,3.2,
noreuse,cpu2cuda,4,358.7,SUCCESS,3.2,
noreuse,cpu2cuda,5,381.8,SUCCESS,3.0,
noreuse,cpu2cuda,6,351.9,SUCCESS,3.2,
noreuse,cpu2cuda,7,406.9,SUCCESS,3.0,
noreuse,cpu2cuda,8,356.6,SUCCESS,3.1,
noreuse,cpu2cuda,9,384.3,SUCCESS,3.0,
noreuse,cpu2cuda,10,409.6,SUCCESS,3.0,
noreuse,cuda2cpu,1,836.9,SUCCESS,2.8,
noreuse,cuda2cpu,2,733.7,SUCCESS,2.8,
