mode,scenario,success,failed,median_mbs,min_mbs,max_mbs,stddev_mbs
full,cpu2cpu,10,0,7266.1,6620.5,7372.6,246.6
full,cpu2cuda,10,0,5792.6,5658.2,5878.6,63.0
full,cuda2cpu,10,0,8489.6,8357.3,8556.8,62.9
nofastpath,cpu2cpu,10,0,6743.1,6626.0,6810.8,59.9
nofastpath,cpu2cuda,10,0,5467.5,5421.4,5590.0,62.5
nofastpath,cuda2cpu,10,0,7832.8,7696.1,7914.6,61.5
noreuse,cpu2cpu,10,0,1567.5,1457.5,1621.9,56.0
noreuse,cpu2cuda,10,0,1237.3,1208.4,1250.2,14.2
noreuse,cuda2cpu,10,0,1719.3,1507.0,1741.8,88.0
pageable,cpu2cpu,10,0,7152.1,7066.2,7202.1,48.3
pageable,cpu2cuda,10,0,4222.6,4148.8,4253.5,31.0
pageable,cuda2cpu,10,0,8302.9,8206.9,8355.3,43.0
