mode,scenario,run,throughput_mbs,status,duration_s,notes
auto,cpu2cpu,1,7893.1,SUCCESS,5.4,
auto,cpu2cpu,2,7328.4,SUCCESS,5.8,
auto,cpu2cpu,3,7586.8,SUCCESS,5.7,
auto,cpu2cpu,4,7579.3,SUCCESS,5.8,
auto,cpu2cpu,5,7813.4,SUCCESS,5.4,
auto,cpu2cpu,6,7868.9,SUCCESS,5.6,
auto,cpu2cpu,7,7754.5,SUCCESS,5.7,
auto,cpu2cpu,8,7325.7,SUCCESS,5.5,
auto,cpu2cpu,9,7661.3,SUCCESS,5.7,
auto,cpu2cpu,10,7825.1,SUCCESS,5.7,
auto,cpu2cuda,1,4269.2,SUCCESS,5.1,
auto,cpu2cuda,2,4431.0,SUCCESS,5.1,
auto,cpu2cuda,3,4258.0,SUCCESS,5.2,
auto,cpu2cuda,4,4234.3,SUCCESS,5.1,
auto,cpu2cuda,5,4298.5,SUCCESS,5.6,
auto,cpu2cuda,6,4301.7,SUCCESS,5.0,
auto,cpu2cuda,7,4307.3,SUCCESS,5.2,
auto,cpu2cuda,8,4471.8,SUCCESS,4.7,
auto,cpu2cuda,9,4309.3,SUCCESS,4.9,
auto,cpu2cuda,10,4445.1,SUCCESS,5.1,
auto,cuda2cpu,1,7827.2,SUCCESS,4.6,
auto,cuda2cpu,2,7870.5,SUCCESS,4.6,
auto,cuda2cpu,3,7902.0,SUCCESS,4.5,
auto,cuda2cpu,4,7952.7,SUCCESS,4.5,
auto,cuda2cpu,5,8037.7,SUCCESS,4.5,
auto,cuda2cpu,6,7966.4,SUCCESS,4.5,
auto,cuda2cpu,7,7945.7,SUCCESS,4.5,
auto,cuda2cpu,8,7679.6,SUCCESS,4.6,
auto,cuda2cpu,9,7972.4,SUCCESS,4.5,
auto,cuda2cpu,10,8098.5,SUCCESS,4.5,
nofastpath,cpu2cpu,1,7433.5,SUCCESS,5.4,
nofastpath,cpu2cpu,2,7449.0,SUCCESS,5.4,
nofastpath,cpu2cpu,3,7391.1,SUCCESS,5.8,
nofastpath,cpu2cpu,4,7352.5,SUCCESS,5.4,
nofastpath,cpu2cpu,5,6931.0,SUCCESS,5.5,
nofastpath,cpu2cpu,6,7608.0,SUCCESS,5.4,
nofastpath,cpu2cpu,7,7586.8,SUCCESS,5.4,
nofastpath,cpu2cpu,8,7382.6,SUCCESS,5.7,
nofastpath,cpu2cpu,9,7410.3,SUCCESS,5.8,
nofastpath,cpu2cpu,10,7368.6,SUCCESS,5.7,
nofastpath,cpu2cuda,1,4174.7,SUCCESS,5.2,
nofastpath,cpu2cuda,2,4355.1,SUCCESS,5.1,
nofastpath,cpu2cuda,3,4220.1,SUCCESS,5.2,
nofastpath,cpu2cuda,4,4139.6,SUCCESS,5.2,
nofastpath,cpu2cuda,5,4243.0,SUCCESS,5.1,
nofastpath,cpu2cuda,6,4274.7,SUCCESS,4.8,
nofastpath,cpu2cuda,7,4247.9,SUCCESS,5.1,
nofastpath,cpu2cuda,8,4188.5,SUCCESS,4.9,
nofastpath,cpu2cuda,9,4244.0,SUCCESS,5.1,
nofastpath,cpu2cuda,10,4050.4,SUCCESS,5.1,
nofastpath,cuda2cpu,1,7918.9,SUCCESS,4.6,
nofastpath,cuda2cpu,2,7829.2,SUCCESS,4.5,
nofastpath,cuda2cpu,3,7980.9,SUCCESS,4.5,
nofastpath,cuda2cpu,4,7698.5,SUCCESS,4.5,
nofastpath,cuda2cpu,5,7718.4,SUCCESS,4.5,
nofastpath,cuda2cpu,6,7944.3,SUCCESS,4.5,
nofastpath,cuda2cpu,7,7618.0,SUCCESS,4.5,
nofastpath,cuda2cpu,8,7824.2,SUCCESS,4.6,
nofastpath,cuda2cpu,9,7620.7,SUCCESS,4.6,
nofastpath,cuda2cpu,10,7934.3,SUCCESS,4.5,
