mode,scenario,run,throughput_mbs,status,duration_s,notes
auto,cpu2cpu,1,6119.2,SUCCESS,4.1,
auto,cpu2cpu,2,4911.7,SUCCESS,4.0,
auto,cpu2cpu,3,5659.6,SUCCESS,4.2,
auto,cpu2cpu,4,5107.8,SUCCESS,4.3,
auto,cpu2cpu,5,4975.0,SUCCESS,4.1,
auto,cpu2cpu,6,5615.7,SUCCESS,4.1,
auto,cpu2cpu,7,6147.2,SUCCESS,3.9,
auto,cpu2cpu,8,5925.4,SUCCESS,3.9,
auto,cpu2cpu,9,5123.0,SUCCESS,3.9,
auto,cpu2cpu,10,6539.7,SUCCESS,3.9,
auto,cpu2cuda,1,3107.2,SUCCESS,3.0,
auto,cpu2cuda,2,3036.6,SUCCESS,3.0,
auto,cpu2cuda,3,3283.5,SUCCESS,3.0,
auto,cpu2cuda,4,2692.6,SUCCESS,3.0,
auto,cpu2cuda,5,2739.0,SUCCESS,3.0,
auto,cpu2cuda,6,3217.0,SUCCESS,3.0,
auto,cpu2cuda,7,3208.9,SUCCESS,3.0,
auto,cpu2cuda,8,2964.9,SUCCESS,3.0,
auto,cpu2cuda,9,3178.2,SUCCESS,3.0,
auto,cpu2cuda,10,3413.1,SUCCESS,3.0,
auto,cuda2cpu,1,3230.9,SUCCESS,2.9,
auto,cuda2cpu,2,3598.4,SUCCESS,2.8,
auto,cuda2cpu,3,3678.6,SUCCESS,2.9,
auto,cuda2cpu,4,3585.8,SUCCESS,2.9,
auto,cuda2cpu,5,3531.2,SUCCESS,2.9,
auto,cuda2cpu,6,3662.6,SUCCESS,2.9,
auto,cuda2cpu,7,3354.7,SUCCESS,2.9,
auto,cuda2cpu,8,3300.0,SUCCESS,2.9,
auto,cuda2cpu,9,3370.4,SUCCESS,2.9,
auto,cuda2cpu,10,3275.0,SUCCESS,2.9,
nofastpath,cpu2cpu,1,4011.6,SUCCESS,3.8,
nofastpath,cpu2cpu,2,3894.1,SUCCESS,3.9,
nofastpath,cpu2cpu,3,2601.9,SUCCESS,4.0,
nofastpath,cpu2cpu,4,3735.6,SUCCESS,4.0,
nofastpath,cpu2cpu,5,3199.4,SUCCESS,3.9,
nofastpath,cpu2cpu,6,3229.2,SUCCESS,4.1,
nofastpath,cpu2cpu,7,3015.9,SUCCESS,4.0,
nofastpath,cpu2cpu,8,3455.0,SUCCESS,4.0,
nofastpath,cpu2cpu,9,2933.6,SUCCESS,4.1,
nofastpath,cpu2cpu,10,2784.9,SUCCESS,4.2,
nofastpath,cpu2cuda,1,1937.1,SUCCESS,3.1,
nofastpath,cpu2cuda,2,2216.9,SUCCESS,3.3,
nofastpath,cpu2cuda,3,1963.8,SUCCESS,3.2,
nofastpath,cpu2cuda,4,1927.2,SUCCESS,3.1,
nofastpath,cpu2cuda,5,1881.5,SUCCESS,3.2,
nofastpath,cpu2cuda,6,2330.7,SUCCESS,3.0,
nofastpath,cpu2cuda,7,1884.5,SUCCESS,3.2,
nofastpath,cpu2cuda,8,2165.6,SUCCESS,3.1,
nofastpath,cpu2cuda,9,2111.9,SUCCESS,3.2,
nofastpath,cpu2cuda,10,2186.5,SUCCESS,3.1,
nofastpath,cuda2cpu,1,2568.0,SUCCESS,2.9,
nofastpath,cuda2cpu,2,2571.9,SUCCESS,2.9,
nofastpath,cuda2cpu,3,2798.5,SUCCESS,2.9,
nofastpath,cuda2cpu,4,2331.4,SUCCESS,2.9,
nofastpath,cuda2cpu,5,2588.1,SUCCESS,2.9,
nofastpath,cuda2cpu,6,2379.4,SUCCESS,3.0,
nofastpath,cuda2cpu,7,2717.7,SUCCESS,2.9,
nofastpath,cuda2cpu,8,2547.5,SUCCESS,2.9,
nofastpath,cuda2cpu,9,2372.3,SUCCESS,2.9,
nofastpath,cuda2cpu,10,2673.8,SUCCESS,3.0,
