size,mode,scenario,success,failed,median_mbs,min_mbs,max_mbs,stddev_mbs
10MB,auto,cpu2cpu,20,0,5842.5,4633.3,8052.2,1148.9
10MB,auto,cpu2cuda,20,0,4189.0,3545.8,4568.2,275.3
10MB,auto,cuda2cpu,20,0,7542.1,5995.9,8054.7,632.7
10MB,nofastpath,cpu2cpu,20,0,5778.9,3681.4,7574.8,1495.6
10MB,nofastpath,cpu2cuda,20,0,4038.9,3425.6,4262.6,267.8
10MB,nofastpath,cuda2cpu,20,0,7203.6,5494.1,7786.8,657.0
160MB,auto,cpu2cpu,10,0,7255.4,7154.2,7301.0,44.6
160MB,auto,cpu2cuda,10,0,6259.1,6036.0,6454.1,128.2
160MB,auto,cuda2cpu,10,0,8626.6,8509.4,8729.7,73.0
160MB,nofastpath,cpu2cpu,10,0,6913.8,6852.1,6941.9,27.1
160MB,nofastpath,cpu2cuda,10,0,6192.4,5305.7,6389.7,312.8
160MB,nofastpath,cuda2cpu,10,0,8739.2,8647.8,8833.9,57.4
1MB,auto,cpu2cpu,20,0,5996.5,4633.3,8818.5,1499.3
1MB,auto,cpu2cuda,20,0,3955.1,3288.4,4568.2,379.5
1MB,auto,cuda2cpu,20,0,5391.1,4337.0,7426.6,1215.3
1MB,nofastpath,cpu2cpu,20,0,5219.5,3681.4,6806.7,990.3
1MB,nofastpath,cpu2cuda,20,0,3400.8,2848.1,4252.4,372.5
1MB,nofastpath,cuda2cpu,20,0,4836.1,3491.6,7227.2,1518.0
20MB,auto,cpu2cpu,20,0,7556.3,6247.4,8052.2,427.3
20MB,auto,cpu2cuda,20,0,4283.9,3545.8,4471.8,258.9
20MB,auto,cuda2cpu,20,0,7871.3,7657.6,8098.5,130.4
20MB,nofastpath,cpu2cpu,20,0,7375.6,6586.7,7608.0,235.6
20MB,nofastpath,cpu2cuda,20,0,4182.0,4022.6,4355.1,79.9
20MB,nofastpath,cuda2cpu,20,0,7661.5,7007.2,7980.9,217.0
25MB,auto,cpu2cpu,20,0,7631.5,7325.7,7893.1,175.0
25MB,auto,cpu2cuda,20,0,4462.9,4234.3,4816.3,171.5
25MB,auto,cuda2cpu,20,0,8059.1,7679.6,8215.2,137.0
25MB,nofastpath,cpu2cpu,20,0,7434.5,6931.0,7608.0,151.5
25MB,nofastpath,cpu2cuda,20,0,4314.9,4050.4,4742.6,195.7
25MB,nofastpath,cuda2cpu,20,0,7847.8,7016.1,8033.3,222.3
30MB,auto,cpu2cpu,20,0,7482.1,7338.3,7792.8,126.6
30MB,auto,cpu2cuda,20,0,5008.0,4454.0,5478.7,391.0
30MB,auto,cuda2cpu,20,0,8168.0,8003.7,8281.8,79.1
30MB,nofastpath,cpu2cpu,20,0,7200.7,6870.9,7556.3,237.2
30MB,nofastpath,cpu2cuda,20,0,4873.9,4194.2,5289.4,355.1
30MB,nofastpath,cuda2cpu,20,0,7856.2,7016.1,8033.3,206.1
40MB,auto,cpu2cpu,20,0,7307.1,7114.6,7517.7,138.5
40MB,auto,cpu2cuda,20,0,5656.9,5199.7,6111.4,341.2
40MB,auto,cuda2cpu,20,0,8251.9,8011.8,8399.7,91.4
40MB,nofastpath,cpu2cpu,20,0,6860.2,6546.9,7217.5,162.7
40MB,nofastpath,cpu2cuda,20,0,5267.5,4880.4,5913.0,350.4
40MB,nofastpath,cuda2cpu,20,0,8043.2,7751.7,8440.3,247.6
512KB,auto,cpu2cpu,20,0,6547.6,4911.7,8818.5,1323.4
512KB,auto,cpu2cuda,20,0,3314.0,2692.6,4008.5,375.7
512KB,auto,cuda2cpu,20,0,4007.8,3230.9,4786.3,581.5
512KB,nofastpath,cpu2cpu,20,0,4739.8,2601.9,6806.7,1550.5
512KB,nofastpath,cpu2cuda,20,0,2589.4,1881.5,3376.0,576.4
512KB,nofastpath,cuda2cpu,20,0,3145.1,2331.4,4178.2,645.3
80MB,auto,cpu2cpu,20,0,7223.4,7114.6,7301.0,53.4
80MB,auto,cpu2cuda,20,0,6105.6,5835.1,6454.1,180.5
80MB,auto,cuda2cpu,20,0,8454.6,8187.8,8729.7,174.9
80MB,nofastpath,cpu2cpu,20,0,6850.9,6546.9,6941.9,101.7
80MB,nofastpath,cpu2cuda,20,0,5903.4,4880.4,6389.7,384.2
80MB,nofastpath,cuda2cpu,20,0,8544.1,8165.1,8833.9,227.2
