mode,scenario,run,throughput_mbs,status,duration_s,notes
pinned,cpu2cuda,1,4173.3,SUCCESS,5.6,
pinned,cpu2cuda,2,4406.9,SUCCESS,5.5,
pinned,cpu2cuda,3,4173.8,SUCCESS,5.5,
pinned,cpu2cuda,4,4193.6,SUCCESS,5.3,
pinned,cpu2cuda,5,4179.2,SUCCESS,5.7,
pinned,cpu2cuda,6,4320.1,SUCCESS,5.7,
pinned,cpu2cuda,7,4259.9,SUCCESS,5.7,
pinned,cpu2cuda,8,4037.4,SUCCESS,5.4,
pinned,cpu2cuda,9,3955.7,SUCCESS,5.5,
pinned,cpu2cuda,10,4277.6,SUCCESS,5.5,
pageable,cpu2cuda,1,3699.8,SUCCESS,6.0,
pageable,cpu2cuda,2,3523.2,SUCCESS,5.9,
pageable,cpu2cuda,3,3442.9,SUCCESS,5.6,
pageable,cpu2cuda,4,3977.6,SUCCESS,5.9,
pageable,cpu2cuda,5,3763.2,SUCCESS,5.2,
pageable,cpu2cuda,6,4241.9,SUCCESS,5.5,
pageable,cpu2cuda,7,4051.1,SUCCESS,5.7,
pageable,cpu2cuda,8,4009.1,SUCCESS,5.7,
pageable,cpu2cuda,9,4218.5,SUCCESS,5.6,
pageable,cpu2cuda,10,4223.6,SUCCESS,5.6,
noreuse,cpu2cpu,1,1576.9,SUCCESS,7.2,
noreuse,cpu2cpu,2,1509.6,SUCCESS,7.2,
noreuse,cpu2cpu,3,1453.4,SUCCESS,7.4,
noreuse,cpu2cpu,4,1378.9,SUCCESS,7.9,
noreuse,cpu2cpu,5,1470.9,SUCCESS,7.5,
noreuse,cpu2cpu,6,1411.0,SUCCESS,7.7,
noreuse,cpu2cpu,7,1509.8,SUCCESS,7.3,
noreuse,cpu2cpu,8,1580.9,SUCCESS,7.1,
noreuse,cpu2cpu,9,1553.5,SUCCESS,7.3,
noreuse,cpu2cpu,10,1528.3,SUCCESS,7.4,
noreuse,cpu2cuda,1,1164.3,SUCCESS,6.9,
noreuse,cpu2cuda,2,1141.2,SUCCESS,7.0,
noreuse,cpu2cuda,3,1118.6,SUCCESS,7.1,
noreuse,cpu2cuda,4,1076.6,SUCCESS,7.4,
noreuse,cpu2cuda,5,1158.9,SUCCESS,7.0,
noreuse,cpu2cuda,6,1131.5,SUCCESS,7.1,
noreuse,cpu2cuda,7,1119.5,SUCCESS,7.4,
noreuse,cpu2cuda,8,1128.7,SUCCESS,7.1,
noreuse,cpu2cuda,9,1103.7,SUCCESS,7.2,
noreuse,cpu2cuda,10,1103.8,SUCCESS,7.1,
noreuse,cuda2cpu,1,1722.3,SUCCESS,6.1,
noreuse,cuda2cpu,2,1737.8,SUCCESS,6.1,
noreuse,cuda2cpu,3,1749.6,SUCCESS,6.0,
noreuse,cuda2cpu,4,1751.4,SUCCESS,6.1,
noreuse,cuda2cpu,5,1712.2,SUCCESS,6.2,
noreuse,cuda2cpu,6,1713.6,SUCCESS,6.1,
noreuse,cuda2cpu,7,1684.4,SUCCESS,6.2,
noreuse,cuda2cpu,8,1614.4,SUCCESS,6.7,
noreuse,cuda2cpu,9,1626.9,SUCCESS,6.3,
noreuse,cuda2cpu,10,1765.5,SUCCESS,6.1,
auto,cpu2cpu,1,7481.9,SUCCESS,6.0,
auto,cpu2cpu,2,7461.8,SUCCESS,6.1,
auto,cpu2cpu,3,7580.8,SUCCESS,6.0,
auto,cpu2cpu,4,7792.8,SUCCESS,6.0,
auto,cpu2cpu,5,7735.4,SUCCESS,5.7,
auto,cpu2cpu,6,7672.5,SUCCESS,6.1,
auto,cpu2cpu,7,7610.0,SUCCESS,6.0,
auto,cpu2cpu,8,7338.3,SUCCESS,6.3,
auto,cpu2cpu,9,7598.4,SUCCESS,6.0,
auto,cpu2cpu,10,7653.0,SUCCESS,6.2,
auto,cpu2cuda,1,4625.6,SUCCESS,5.5,
auto,cpu2cuda,2,4454.0,SUCCESS,5.6,
auto,cpu2cuda,3,4816.3,SUCCESS,5.4,
auto,cpu2cuda,4,4565.8,SUCCESS,5.4,
auto,cpu2cuda,5,4480.2,SUCCESS,5.2,
auto,cpu2cuda,6,4779.7,SUCCESS,5.4,
auto,cpu2cuda,7,4574.9,SUCCESS,5.4,
auto,cpu2cuda,8,4614.2,SUCCESS,5.2,
auto,cpu2cuda,9,4548.1,SUCCESS,5.3,
auto,cpu2cuda,10,4604.7,SUCCESS,5.4,
auto,cuda2cpu,1,8003.7,SUCCESS,4.9,
auto,cuda2cpu,2,8128.9,SUCCESS,4.8,
auto,cuda2cpu,3,8214.4,SUCCESS,6.0,
auto,cuda2cpu,4,8080.6,SUCCESS,4.8,
auto,cuda2cpu,5,8126.1,SUCCESS,4.8,
auto,cuda2cpu,6,8137.3,SUCCESS,4.8,
auto,cuda2cpu,7,8215.2,SUCCESS,4.8,
auto,cuda2cpu,8,8134.9,SUCCESS,4.8,
auto,cuda2cpu,9,8125.6,SUCCESS,4.9,
auto,cuda2cpu,10,8092.2,SUCCESS,4.8,
nofastpath,cpu2cpu,1,7183.9,SUCCESS,5.7,
nofastpath,cpu2cpu,2,7435.5,SUCCESS,5.9,
nofastpath,cpu2cpu,3,7319.8,SUCCESS,6.0,
nofastpath,cpu2cpu,4,7450.1,SUCCESS,6.1,
nofastpath,cpu2cpu,5,7552.9,SUCCESS,6.2,
nofastpath,cpu2cpu,6,7280.0,SUCCESS,5.7,
nofastpath,cpu2cpu,7,7466.8,SUCCESS,6.1,
nofastpath,cpu2cpu,8,7473.8,SUCCESS,6.1,
nofastpath,cpu2cpu,9,7556.3,SUCCESS,5.7,
nofastpath,cpu2cpu,10,7442.4,SUCCESS,6.1,
nofastpath,cpu2cuda,1,4437.4,SUCCESS,5.4,
nofastpath,cpu2cuda,2,4377.0,SUCCESS,5.4,
nofastpath,cpu2cuda,3,4605.3,SUCCESS,5.4,
nofastpath,cpu2cuda,4,4742.6,SUCCESS,5.4,
nofastpath,cpu2cuda,5,4423.4,SUCCESS,5.5,
nofastpath,cpu2cuda,6,4682.8,SUCCESS,5.4,
nofastpath,cpu2cuda,7,4540.6,SUCCESS,5.5,
nofastpath,cpu2cuda,8,4505.6,SUCCESS,5.2,
nofastpath,cpu2cuda,9,4194.2,SUCCESS,5.5,
nofastpath,cpu2cuda,10,4585.4,SUCCESS,5.5,
nofastpath,cuda2cpu,1,7016.1,SUCCESS,5.2,
nofastpath,cuda2cpu,2,7711.9,SUCCESS,4.8,
nofastpath,cuda2cpu,3,7851.3,SUCCESS,4.8,
nofastpath,cuda2cpu,4,7973.9,SUCCESS,4.8,
nofastpath,cuda2cpu,5,7870.1,SUCCESS,4.8,
nofastpath,cuda2cpu,6,7844.3,SUCCESS,4.8,
nofastpath,cuda2cpu,7,7887.3,SUCCESS,4.9,
nofastpath,cuda2cpu,8,8033.3,SUCCESS,4.8,
nofastpath,cuda2cpu,9,7822.3,SUCCESS,4.8,
nofastpath,cuda2cpu,10,8013.7,SUCCESS,4.9,
