mode,scenario,success,failed,median_mbs,min_mbs,max_mbs,stddev_mbs
auto,cpu2cpu,10,0,7348.8,7267.5,7413.1,42.8
auto,cpu2cuda,10,0,5371.1,5032.2,5437.0,151.9
auto,cuda2cpu,10,0,8408.6,7931.8,8519.6,161.1
nofastpath,cpu2cpu,10,0,7286.2,7183.6,7317.6,43.7
nofastpath,cpu2cuda,10,0,5411.9,5046.9,5538.9,155.7
nofastpath,cuda2cpu,10,0,8322.2,8244.4,8380.6,44.4
noreuse,cpu2cpu,10,0,1665.4,1635.9,1694.5,16.7
noreuse,cpu2cuda,10,0,1264.2,1238.7,1280.5,14.2
noreuse,cuda2cpu,10,0,1784.0,1705.0,1803.3,29.1
pageable,cpu2cuda,10,0,4319.5,4165.6,4403.3,70.6
pinned,cpu2cuda,10,0,5424.1,5199.1,5661.8,148.1
