size,mode,scenario,success,failed,median_mbs,min_mbs,max_mbs,stddev_mbs
10MB,auto,cpu2cpu,20,0,6312.6,4164.6,7954.9,1489.9
10MB,auto,cpu2cuda,20,0,4269.6,3587.6,4392.5,227.6
10MB,auto,cuda2cpu,20,0,7149.5,5575.8,7917.9,664.0
10MB,nofastpath,cpu2cpu,20,0,5340.2,3707.8,7509.7,1359.9
10MB,nofastpath,cpu2cuda,20,0,3949.8,3441.3,4243.5,254.9
10MB,nofastpath,cuda2cpu,20,0,6963.5,5794.7,7726.7,520.5
10MB,noreuse,cpu2cpu,20,0,1278.9,983.5,1466.5,142.9
10MB,noreuse,cpu2cuda,20,0,918.6,721.8,1030.2,79.5
10MB,noreuse,cuda2cpu,20,0,1568.1,1465.1,1643.7,56.1
10MB,pageable,cpu2cuda,20,0,4146.7,3501.8,4409.6,234.5
10MB,pinned,cpu2cuda,20,0,3465.7,2886.2,4352.8,519.8
160MB,auto,cpu2cpu,10,0,7509.0,7463.6,7605.2,43.2
160MB,auto,cpu2cuda,10,0,5963.1,5700.4,6483.9,255.8
160MB,auto,cuda2cpu,10,0,8684.5,8602.5,8735.5,41.2
160MB,nofastpath,cpu2cpu,10,0,7436.0,6687.3,7515.6,245.0
160MB,nofastpath,cpu2cuda,10,0,6326.1,6103.4,6548.0,133.9
160MB,nofastpath,cuda2cpu,10,0,8581.9,8133.9,8686.7,159.7
160MB,noreuse,cpu2cpu,10,0,1713.1,1683.9,1730.3,12.9
160MB,noreuse,cpu2cuda,10,0,1329.5,1315.0,1348.1,11.5
160MB,noreuse,cuda2cpu,10,0,1812.1,1800.1,1830.4,10.5
160MB,pageable,cpu2cuda,10,0,4491.9,4444.9,4505.5,23.4
160MB,pinned,cpu2cuda,10,0,6495.5,6421.8,6547.6,46.3
1MB,auto,cpu2cpu,20,0,5656.9,4164.6,7465.2,1140.6
1MB,auto,cpu2cuda,20,0,3442.6,2018.0,4392.5,684.4
1MB,auto,cuda2cpu,20,0,4860.6,3551.6,7248.7,1526.7
1MB,nofastpath,cpu2cpu,20,0,4716.3,3707.8,6476.2,635.3
1MB,nofastpath,cpu2cuda,20,0,3283.8,2580.8,4237.0,489.1
1MB,nofastpath,cuda2cpu,20,0,5190.4,3065.6,7021.9,1732.6
1MB,noreuse,cpu2cpu,20,0,1236.9,983.5,1355.3,96.9
1MB,noreuse,cpu2cuda,20,0,748.5,635.9,922.4,99.9
1MB,noreuse,cuda2cpu,20,0,1337.2,973.7,1643.7,244.4
1MB,pageable,cpu2cuda,20,0,3389.1,2656.8,4409.6,497.2
1MB,pinned,cpu2cuda,20,0,2283.5,1418.2,3262.1,787.2
20MB,auto,cpu2cpu,20,0,7550.5,5604.1,7954.9,593.2
20MB,auto,cpu2cuda,20,0,4223.3,3538.4,4340.1,213.8
20MB,auto,cuda2cpu,20,0,7839.9,5929.3,8113.8,506.0
20MB,nofastpath,cpu2cpu,20,0,6963.1,5856.6,7509.7,470.4
20MB,nofastpath,cpu2cuda,20,0,4102.5,3480.3,4244.6,206.9
20MB,nofastpath,cuda2cpu,20,0,7657.7,5794.7,7858.5,508.4
20MB,noreuse,cpu2cpu,20,0,1461.0,1225.5,1580.9,98.0
20MB,noreuse,cpu2cuda,20,0,1013.4,891.0,1051.1,46.8
20MB,noreuse,cuda2cpu,20,0,1617.2,1465.1,1746.2,92.1
20MB,pageable,cpu2cuda,20,0,4190.9,3593.3,4367.1,207.5
20MB,pinned,cpu2cuda,20,0,4151.8,3669.4,4581.0,242.3
25MB,auto,cpu2cpu,20,0,7330.8,5604.1,7704.4,621.1
25MB,auto,cpu2cuda,20,0,4061.2,3538.4,4312.1,201.6
25MB,auto,cuda2cpu,20,0,7857.1,6673.0,8113.8,437.3
25MB,nofastpath,cpu2cpu,20,0,7126.5,6185.2,7367.7,332.9
25MB,nofastpath,cpu2cuda,20,0,4041.5,3608.6,4244.6,154.0
25MB,nofastpath,cuda2cpu,20,0,7741.0,6709.3,7904.4,361.7
25MB,noreuse,cpu2cpu,20,0,1510.4,1378.9,1580.9,55.2
25MB,noreuse,cpu2cuda,20,0,1063.9,938.7,1164.3,66.5
25MB,noreuse,cuda2cpu,20,0,1712.9,1603.1,1765.5,47.6
25MB,pageable,cpu2cuda,20,0,4030.1,3442.9,4262.4,263.1
25MB,pinned,cpu2cuda,20,0,4215.8,3862.2,4581.0,195.4
30MB,auto,cpu2cpu,20,0,7242.5,6225.8,7568.6,392.2
30MB,auto,cpu2cuda,20,0,4417.4,3830.2,4986.7,428.2
30MB,auto,cuda2cpu,20,0,7755.0,6673.0,8215.7,461.2
30MB,nofastpath,cpu2cpu,20,0,7162.8,6442.8,7367.7,231.0
30MB,nofastpath,cpu2cuda,20,0,4202.3,3850.7,4890.7,354.3
30MB,nofastpath,cuda2cpu,20,0,7689.1,6353.5,8014.3,452.8
30MB,noreuse,cpu2cpu,20,0,1531.4,1378.9,1584.3,60.9
30MB,noreuse,cpu2cuda,20,0,1120.5,1015.1,1164.3,42.4
30MB,noreuse,cuda2cpu,20,0,1731.1,1614.4,1769.8,41.0
30MB,pageable,cpu2cuda,20,0,4060.5,3442.9,4286.1,254.6
30MB,pinned,cpu2cuda,20,0,4476.6,3955.7,5062.5,384.1
40MB,auto,cpu2cpu,20,0,7324.0,6893.7,7413.1,138.7
40MB,auto,cpu2cuda,20,0,5009.4,4539.7,5437.0,273.3
40MB,auto,cuda2cpu,20,0,8168.3,6798.4,8519.6,435.7
40MB,nofastpath,cpu2cpu,20,0,7214.2,6442.8,7317.6,237.4
